name,url,nom_vendeur,nom_produit,version_info,source_alerte,id_alerte,title_alerte,date_publication_alerte,description_alerte,cvss,cvss_gravite,cvss_vecteur,cwe_id,epss,epss_percentile,description_tech
CVE-2023-36884,https://www.cve.org/CVERecord?id=CVE-2023-36884,Microsoft,Windows,Windows 10 Version 22H2 pour systèmes x64,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-006/,CERTFR-2023-ALE-006,Vulnérabilité dans les produits Microsoft,,Exécution de code arbitraire à distance,7.5,HIGH,CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:U/C:H/I:H/A:H/E:F/RL:O/RC:C,CWE-362,0.9322,0.99786,Windows Search Remote Code Execution Vulnerability
CVE-2023-36884,https://www.cve.org/CVERecord?id=CVE-2023-36884,Microsoft,Windows,Windows 11 version 21H2 pour systèmes ARM64,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-006/,CERTFR-2023-ALE-006,Vulnérabilité dans les produits Microsoft,,Exécution de code arbitraire à distance,7.5,HIGH,CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:U/C:H/I:H/A:H/E:F/RL:O/RC:C,CWE-362,0.9322,0.99786,Windows Search Remote Code Execution Vulnerability
CVE-2023-36884,https://www.cve.org/CVERecord?id=CVE-2023-36884,Microsoft,Windows,Windows Server 2008 pour systèmes x64 Service Pack 2 (Server Core installation),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-006/,CERTFR-2023-ALE-006,Vulnérabilité dans les produits Microsoft,,Exécution de code arbitraire à distance,7.5,HIGH,CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:U/C:H/I:H/A:H/E:F/RL:O/RC:C,CWE-362,0.9322,0.99786,Windows Search Remote Code Execution Vulnerability
CVE-2023-36884,https://www.cve.org/CVERecord?id=CVE-2023-36884,Microsoft,Windows,Windows Server 2008 pour systèmes 32 bits Service Pack 2 (Server Core installation),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-006/,CERTFR-2023-ALE-006,Vulnérabilité dans les produits Microsoft,,Exécution de code arbitraire à distance,7.5,HIGH,CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:U/C:H/I:H/A:H/E:F/RL:O/RC:C,CWE-362,0.9322,0.99786,Windows Search Remote Code Execution Vulnerability
CVE-2023-36884,https://www.cve.org/CVERecord?id=CVE-2023-36884,Microsoft,Windows,Windows 10 Version 1607 pour systèmes x64,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-006/,CERTFR-2023-ALE-006,Vulnérabilité dans les produits Microsoft,,Exécution de code arbitraire à distance,7.5,HIGH,CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:U/C:H/I:H/A:H/E:F/RL:O/RC:C,CWE-362,0.9322,0.99786,Windows Search Remote Code Execution Vulnerability
CVE-2023-36884,https://www.cve.org/CVERecord?id=CVE-2023-36884,Microsoft,Windows,Windows Server 2012 (Server Core installation),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-006/,CERTFR-2023-ALE-006,Vulnérabilité dans les produits Microsoft,,Exécution de code arbitraire à distance,7.5,HIGH,CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:U/C:H/I:H/A:H/E:F/RL:O/RC:C,CWE-362,0.9322,0.99786,Windows Search Remote Code Execution Vulnerability
CVE-2023-36884,https://www.cve.org/CVERecord?id=CVE-2023-36884,Microsoft,Windows,Windows 10 Version 21H2 pour systèmes 32 bits,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-006/,CERTFR-2023-ALE-006,Vulnérabilité dans les produits Microsoft,,Exécution de code arbitraire à distance,7.5,HIGH,CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:U/C:H/I:H/A:H/E:F/RL:O/RC:C,CWE-362,0.9322,0.99786,Windows Search Remote Code Execution Vulnerability
CVE-2023-36884,https://www.cve.org/CVERecord?id=CVE-2023-36884,Microsoft,Windows,Windows 10 Version 21H2 pour systèmes x64,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-006/,CERTFR-2023-ALE-006,Vulnérabilité dans les produits Microsoft,,Exécution de code arbitraire à distance,7.5,HIGH,CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:U/C:H/I:H/A:H/E:F/RL:O/RC:C,CWE-362,0.9322,0.99786,Windows Search Remote Code Execution Vulnerability
CVE-2023-36884,https://www.cve.org/CVERecord?id=CVE-2023-36884,Microsoft,Windows,Windows Server 2008 pour systèmes 32 bits Service Pack 2,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-006/,CERTFR-2023-ALE-006,Vulnérabilité dans les produits Microsoft,,Exécution de code arbitraire à distance,7.5,HIGH,CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:U/C:H/I:H/A:H/E:F/RL:O/RC:C,CWE-362,0.9322,0.99786,Windows Search Remote Code Execution Vulnerability
CVE-2023-36884,https://www.cve.org/CVERecord?id=CVE-2023-36884,Microsoft,Windows,Windows Server 2008 R2 pour systèmes x64 Service Pack 1,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-006/,CERTFR-2023-ALE-006,Vulnérabilité dans les produits Microsoft,,Exécution de code arbitraire à distance,7.5,HIGH,CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:U/C:H/I:H/A:H/E:F/RL:O/RC:C,CWE-362,0.9322,0.99786,Windows Search Remote Code Execution Vulnerability
